date,sku,ordered_units,planned_units,received_units,shipped_units,fill_rate_%,prod_completion_%,control_tower_status,service_risk
2026-03-01,76004,0.0,0.0,0.0,64000.0,6400000.0,0.0,CLEAR,STAFFING OK
2026-03-09,76004,39000.0,40000.0,40000.0,0.0,0.0,100.0,SHORT SHIP,STAFFING OK
2026-03-01,76728,0.0,0.0,0.0,12100.0,1210000.0,0.0,CLEAR,STAFFING OK
2026-03-09,76728,12000.0,12500.0,12500.0,0.0,0.0,100.0,SHORT SHIP,YELLOW: INTERNAL RISK (FAC)
2026-03-01,76816,0.0,0.0,0.0,10500.0,1050000.0,0.0,CLEAR,STAFFING OK
2026-03-09,76816,10500.0,10000.0,10500.0,0.0,0.0,105.0,SHORT SHIP,STAFFING OK
2026-03-01,76937,0.0,0.0,0.0,14800.0,1480000.0,0.0,CLEAR,STAFFING OK
2026-03-09,76937,15000.0,15200.0,15200.0,0.0,0.0,100.0,SHORT SHIP,STAFFING OK
