date,sku,service_risk,labor_status,scheduled_start,scheduled_end,shipping_actual,packing_actual,management_priority
2026-03-09,76728,YELLOW: INTERNAL RISK (FAC),PACKING: -2,2026-03-08 06:00:00,2026-03-08 14:00:00,19,10,WARNING: INTERNAL RISK
2026-03-01,76728,STAFFING OK,PACKING: -2,2026-03-08 06:00:00,2026-03-08 14:00:00,19,10,HIGH: STAFFING GAP
2026-03-01,76937,STAFFING OK,PACKING: -2,2026-03-08 06:00:00,2026-03-08 14:00:00,19,10,HIGH: STAFFING GAP
2026-03-09,76937,STAFFING OK,PACKING: -2,2026-03-08 06:00:00,2026-03-08 14:00:00,19,10,HIGH: STAFFING GAP
2026-03-01,76004,STAFFING OK,STAFFING OK,2026-03-08 14:00:00,2026-03-08 22:00:00,20,20,NORMAL
2026-03-09,76004,STAFFING OK,STAFFING OK,2026-03-08 14:00:00,2026-03-08 22:00:00,20,20,NORMAL
2026-03-09,76816,STAFFING OK,STAFFING OK,2026-03-08 14:00:00,2026-03-08 22:00:00,20,20,NORMAL
2026-03-01,76816,STAFFING OK,STAFFING OK,2026-03-08 14:00:00,2026-03-08 22:00:00,20,20,NORMAL
